long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg,roughness_rms_m,nasa_score,rf_score,sim_score,nasa_pred,rf_pred,sim_pred,consensus_count,consensus_category
322.04589,-0.7324,-3954.53,3391388.53,3.9914054927521594,6.7844753958424455,0.8782303349275745,0.34,-0.5552539209852959,1,0,0,1,minority_accept
322.04524,-0.7273,-3983.14,3391359.96,3.9362769725568314,7.427634401348753,0.8284518155331111,0.335,-0.5552539209852959,1,0,0,1,minority_accept
322.04458,-0.7222,-3996.9,3391346.23,3.5460962907130096,10.44795406956873,0.4219536042678359,0.325,-0.5552539209852959,0,0,0,0,all_reject
322.04392,-0.7171,-4013.85,3391329.32,2.942175601715652,11.794718714066075,0.27826667904839625,0.325,-0.5552539209852959,0,0,0,0,all_reject
322.04327,-0.712,-4015.4,3391327.8,2.042829744262705,9.08129189181206,0.6311996697608409,0.33,-0.5552539209852959,1,0,0,1,minority_accept
322.04259,-0.7069,-4014.85,3391328.39,1.3218726913006442,4.945432435829429,0.9831178575602967,0.36,-0.5552539209852959,1,0,0,1,minority_accept
322.04193,-0.7018,-4014.2,3391329.07,1.3014488191199605,7.850689041692578,0.8115929205902584,0.35,-0.5552539209852959,1,0,0,1,minority_accept
322.04127,-0.6968,-4020.95,3391322.35,2.5934191085874856,18.87013034040528,0.026582020991182977,0.315,-0.5552539209852959,0,0,0,0,all_reject
322.0406,-0.6917,-4026.49,3391316.84,4.5905597387767205,23.75472260154505,0.004632026619938551,0.32,-0.5552539209852959,0,0,0,0,all_reject
322.03994,-0.6866,-4049.48,3391293.88,6.498942001139678,18.78188613298361,0.009943325099317566,0.315,-0.5552539209852959,0,0,0,0,all_reject
322.03928,-0.6815,-4106.77,3391236.63,7.633073196034628,14.587044877812062,0.019169144136895848,0.315,-0.5552539209852959,0,0,0,0,all_reject
322.03861,-0.6764,-4159.25,3391184.18,7.090521447962636,19.99382404694695,0.004526650070116349,0.32,-0.5552539209852959,0,0,0,0,all_reject
322.03795,-0.6713,-4199.64,3391143.82,4.501115847791719,28.9177470995807,0.0008432799707660292,0.31,-0.5552539209852959,0,0,0,0,all_reject
322.03729,-0.6662,-4214.97,3391128.52,1.3779372070620817,31.87655204796997,0.000349129830125504,0.32,-0.5552539209852959,0,0,0,0,all_reject
322.03663,-0.6611,-4205.74,3391137.78,2.467451286658447,25.935785919063445,0.002524557941486126,0.315,-0.5552539209852959,0,0,0,0,all_reject
322.03596,-0.656,-4174.77,3391168.79,4.445596356868843,19.81253867621206,0.017710054059374668,0.315,-0.5552539209852959,0,0,0,0,all_reject
322.0353,-0.651,-4117.28,3391226.31,5.31316711826377,14.644152530724387,0.07669927368642943,0.31,-0.5552539209852959,0,0,0,0,all_reject
322.03463,-0.6459,-4102.8,3391240.82,5.51809820043689,11.931632282103775,0.1712109819959904,0.31,-0.5552539209852959,0,0,0,0,all_reject
