long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg,roughness_rms_m,source_file
301.12662,-14.2868,-1919.19,3392678.88,,,too_rough.csv
301.12595,-14.2919,-1758.92,3392838.47,,,too_rough.csv
301.12527,-14.297,-1606.0,3392990.71,,,too_rough.csv
301.1246,-14.3022,-1464.1,3393131.93,,,too_rough.csv
301.12392,-14.3073,-1303.22,3393292.14,,,too_rough.csv
301.12324,-14.3124,-1141.57,3393453.11,,,too_rough.csv
301.12257,-14.3176,-920.29,3393673.71,,,too_rough.csv
301.12189,-14.3227,-709.85,3393883.47,,,too_rough.csv
301.12122,-14.3278,-548.42,3394044.22,,,too_rough.csv
301.12054,-14.333,-419.86,3394172.11,,,too_rough.csv
301.11986,-14.3381,-268.61,3394322.69,,,too_rough.csv
301.11919,-14.3432,-114.17,3394476.46,,,too_rough.csv
301.11851,-14.3484,29.11,3394619.07,,,too_rough.csv
301.11783,-14.3535,171.03,3394760.32,,,too_rough.csv
301.11716,-14.3586,313.23,3394901.85,,,too_rough.csv
301.11648,-14.3638,506.92,3395094.87,,,too_rough.csv
301.11581,-14.3689,494.03,3395081.31,,,too_rough.csv
301.11514,-14.374,355.98,3394942.59,,,too_rough.csv
301.11447,-14.3791,256.82,3394842.75,,,too_rough.csv
301.11379,-14.3843,219.06,3394804.32,,,too_rough.csv
301.11312,-14.3894,243.59,3394828.18,,,too_rough.csv
301.11244,-14.3945,329.63,3394913.55,,,too_rough.csv
301.11177,-14.3996,443.58,3395026.83,,,too_rough.csv
301.11109,-14.4048,566.36,3395148.94,,,too_rough.csv
301.11042,-14.4099,685.77,3395267.68,,,too_rough.csv
301.10974,-14.415,828.14,3395409.38,,,too_rough.csv
301.10907,-14.4202,981.32,3395561.89,,,too_rough.csv
301.10839,-14.4253,1119.17,3395699.07,,,too_rough.csv
301.10771,-14.4304,1260.31,3395839.52,,,too_rough.csv
301.10701,-14.4355,1407.73,3395986.28,,,too_rough.csv
301.10631,-14.4407,1530.95,3396108.84,,,too_rough.csv
301.10561,-14.4458,1656.06,3396233.29,,,too_rough.csv
301.10491,-14.4509,1796.39,3396372.95,,,too_rough.csv
301.10421,-14.456,1931.24,3396507.14,,,too_rough.csv
301.10351,-14.4612,2069.76,3396645.0,,,too_rough.csv
301.10281,-14.4663,2212.24,3396786.82,,,too_rough.csv
301.10211,-14.4714,2374.3,3396948.21,,,too_rough.csv
301.10141,-14.4765,2571.26,3397144.51,,,too_rough.csv
301.10071,-14.4817,2717.59,3397290.18,,,too_rough.csv
301.10001,-14.4868,2805.33,3397377.26,,,too_rough.csv
301.09931,-14.4919,2812.81,3397384.07,,,too_rough.csv
301.09861,-14.497,2848.5,3397419.1,,,too_rough.csv
301.771,-13.0036,-1701.18,3393065.38,,,too_rough.csv
301.77031,-13.0087,-1776.79,3392989.0,,,too_rough.csv
301.76962,-13.0139,-1835.48,3392929.53,,,too_rough.csv
301.76822,-13.024,-1957.97,3392805.5,,,too_rough.csv
301.76754,-13.0292,-2008.37,3392754.33,,,too_rough.csv
301.76687,-13.0343,-2053.31,3392708.62,,,too_rough.csv
301.76619,-13.0394,-2094.7,3392666.45,,,too_rough.csv
301.76552,-13.0445,-2132.73,3392627.65,,,too_rough.csv
301.76484,-13.0496,-2173.43,3392586.18,,,too_rough.csv
301.76417,-13.0548,-2210.71,3392548.13,,,too_rough.csv
301.76282,-13.065,-2298.37,3392458.93,,,too_rough.csv
301.76214,-13.0701,-2336.43,3392420.1,,,too_rough.csv
301.76147,-13.0752,-2367.04,3392388.71,,,too_rough.csv
301.76079,-13.0804,-2405.81,3392349.17,,,too_rough.csv
301.76012,-13.0855,-2439.02,3392315.19,,,too_rough.csv
301.75944,-13.0906,-2451.22,3392302.22,,,too_rough.csv
301.75877,-13.0957,-2436.73,3392315.94,,,too_rough.csv
301.75809,-13.1008,-2408.47,3392343.43,,,too_rough.csv
301.75741,-13.106,-2399.81,3392351.32,,,too_rough.csv
301.75674,-13.1111,-2378.24,3392372.11,,,too_rough.csv
301.75605,-13.1162,-2243.16,3392506.42,,,too_rough.csv
301.75538,-13.1213,-2281.74,3392467.07,,,too_rough.csv
301.75472,-13.1265,-2256.32,3392491.73,,,too_rough.csv
301.75405,-13.1316,-2199.13,3392548.16,,,too_rough.csv
301.75338,-13.1367,-2260.28,3392486.24,,,too_rough.csv
301.75271,-13.1418,-2395.88,3392349.87,,,too_rough.csv
301.75204,-13.147,-2500.24,3392244.75,,,too_rough.csv
301.75137,-13.1521,-2630.43,3392113.79,,,too_rough.csv
301.7507,-13.1572,-2725.2,3392018.25,,,too_rough.csv
301.75003,-13.1623,-2751.27,3391991.42,,,too_rough.csv
301.74935,-13.1675,-2727.08,3392014.84,,,too_rough.csv
301.74868,-13.1726,-2837.09,3391904.06,,,too_rough.csv
301.74801,-13.1777,-2998.41,3391741.98,,,too_rough.csv
301.74735,-13.1828,-3170.35,3391569.27,,,too_rough.csv
301.74668,-13.1879,-3314.73,3391424.12,,,too_rough.csv
301.74601,-13.1931,-3469.01,3391269.08,,,too_rough.csv
301.74534,-13.1982,-3612.0,3391125.32,,,too_rough.csv
301.74467,-13.2033,-3755.31,3390981.24,,,too_rough.csv
301.744,-13.2084,-3871.32,3390864.47,,,too_rough.csv
301.74333,-13.2135,-3956.64,3390778.38,,,too_rough.csv
301.74266,-13.2187,-4005.28,3390728.97,,,too_rough.csv
301.74199,-13.2238,-4036.46,3390697.03,,,too_rough.csv
301.74136,-13.2289,-4086.15,3390646.57,,,too_rough.csv
301.74067,-13.234,-4254.72,3390477.24,,,too_rough.csv
301.74,-13.2392,-4454.33,3390276.87,,,too_rough.csv
301.73931,-13.2443,-4577.4,3390153.04,,,too_rough.csv
301.73863,-13.2494,-4651.44,3390078.24,,,too_rough.csv
301.73794,-13.2545,-4685.81,3390043.12,,,too_rough.csv
301.73726,-13.2596,-4724.12,3390004.05,,,too_rough.csv
301.73657,-13.2648,-4756.19,3389971.22,,,too_rough.csv
301.73589,-13.2699,-4786.43,3389940.22,,,too_rough.csv
301.7352,-13.275,-4820.79,3389905.1,,,too_rough.csv
301.73452,-13.2801,-4846.14,3389878.99,,,too_rough.csv
301.73383,-13.2852,-4864.29,3389860.08,,,too_rough.csv
301.73315,-13.2903,-4881.71,3389841.9,,,too_rough.csv
301.73246,-13.2955,-4897.37,3389825.48,,,too_rough.csv
301.73178,-13.3006,-4902.11,3389819.98,,,too_rough.csv
