long_east,lat_north,altitude
77.79771,18.5831,-2546.71
77.79701,18.578,-2554.2
77.79632,18.573,-2558.36
77.79563,18.5679,-2565.31
77.79493,18.5629,-2571.26
77.79424,18.5578,-2565.35
77.79355,18.5527,-2572.51
77.79285,18.5477,-2584.23
77.79216,18.5426,-2589.13
77.79147,18.5376,-2593.29
77.79077,18.5325,-2596.49
77.79008,18.5275,-2598.81
77.78939,18.5224,-2601.9
77.78869,18.5173,-2603.5
77.788,18.5123,-2605.35
77.78731,18.5072,-2610.71
77.78661,18.5022,-2611.16
77.78592,18.4971,-2615.76
77.78523,18.4921,-2619.92
77.78453,18.487,-2627.87
77.78384,18.4819,-2632.03
77.78315,18.4769,-2637.04
77.78246,18.4718,-2629.46
77.78176,18.4668,-2618.81
77.78107,18.4617,-2624.44
77.78037,18.4566,-2627.9
77.77967,18.4516,-2629.56
77.77828,18.4414,-2632.24
77.77758,18.4364,-2634.64
77.77619,18.4262,-2634.02
77.77549,18.4212,-2637.03
77.7748,18.4161,-2641.34
77.7741,18.4111,-2641.29
77.7734,18.406,-2641.03
77.77271,18.4009,-2643.36
77.77201,18.3959,-2645.97
77.77131,18.3908,-2646.59
77.77062,18.3857,-2652.16
77.76992,18.3807,-2651.17
77.76922,18.3756,-2658.72
77.76853,18.3705,-2664.09
77.76783,18.3655,-2665.85
77.76714,18.3604,-2668.31
77.76644,18.3553,-2668.65
77.76574,18.3503,-2669.82
77.76505,18.3452,-2672.28
77.76435,18.3401,-2677.89
77.76365,18.3351,-2679.21
77.76296,18.33,-2682.15
77.76226,18.3249,-2683.46
77.76157,18.3199,-2683.51
77.76087,18.3148,-2686.56
77.76017,18.3097,-2688.84
77.75948,18.3047,-2689.21
77.75878,18.2996,-2689.4
77.75808,18.2945,-2693.57
77.75739,18.2895,-2696.3
77.75669,18.2844,-2699.75
77.756,18.2793,-2697.9
77.7553,18.2743,-2710.42
77.75458,18.2692,-2709.41
77.7539,18.2642,-2713.87
77.75322,18.2591,-2708.25
77.75254,18.254,-2711.79
77.75185,18.249,-2713.31
77.75117,18.2439,-2716.49
77.75049,18.2388,-2716.13
77.74981,18.2338,-2708.3
77.74913,18.2287,-2706.25
77.74844,18.2236,-2703.22
77.74776,18.2186,-2696.58
77.74708,18.2135,-2684.72
77.7464,18.2084,-2663.12
77.74503,18.1983,-2690.46
77.74435,18.1932,-2697.08
77.74367,18.1881,-2697.37
77.74299,18.1831,-2702.39
77.7423,18.178,-2698.63
77.74162,18.1729,-2695.45
77.74094,18.1679,-2688.79
77.74026,18.1628,-2677.12
77.73958,18.1577,-2669.3
77.7389,18.1527,-2664.55
77.73822,18.1476,-2640.3
77.73753,18.1425,-2633.36
77.73685,18.1375,-2619.85
77.73617,18.1324,-2618.76
77.73549,18.1273,-2616.01
77.73481,18.1223,-2631.66
77.73413,18.1172,-2620.63
77.73345,18.1121,-2623.2
77.73276,18.1071,-2628.18
77.73208,18.102,-2633.46
77.7314,18.0969,-2656.81
77.73072,18.0919,-2659.89
77.73004,18.0868,-2654.0
77.72936,18.0817,-2634.18
77.72867,18.0767,-2608.81
77.72799,18.0716,-2633.3
77.72733,18.0665,-2591.66
77.72663,18.0615,-2591.03
77.72594,18.0564,-2578.8
77.72524,18.0514,-2552.96
77.72455,18.0463,-2459.41
77.72386,18.0413,-2366.9
77.72317,18.0362,-2262.04
77.72247,18.0312,-2145.94
77.72178,18.0261,-2036.95
77.72109,18.0211,-1935.4
77.72039,18.016,-1873.77
77.7197,18.011,-1878.88
77.719,18.0059,-1955.94
77.7183,18.0009,-2021.85
77.7176,17.9958,-2084.98
77.71691,17.9908,-2132.5
77.71621,17.9857,-2183.99
77.71551,17.9807,-2210.71
77.71482,17.9756,-2243.01
77.71412,17.9706,-2263.27
77.71273,17.9605,-2304.98
77.71203,17.9555,-2330.25
77.71133,17.9504,-2354.22
77.71064,17.9454,-2369.77
