long_east,lat_north,altitude
175.30726,-14.1499,-1919.05
175.3066,-14.155,-1918.77
175.30593,-14.1601,-1911.39
175.30527,-14.1653,-1919.04
175.30461,-14.1704,-1917.62
175.30395,-14.1756,-1917.37
175.30328,-14.1807,-1908.1
175.30262,-14.1858,-1914.24
175.30196,-14.191,-1910.64
175.3013,-14.1961,-1908.49
175.30063,-14.2012,-1916.48
175.29997,-14.2064,-1913.68
175.29931,-14.2115,-1914.16
175.29865,-14.2166,-1916.19
175.29799,-14.2218,-1914.87
175.29742,-14.2272,-1912.06
175.29678,-14.2324,-1915.39
175.29614,-14.2375,-1907.74
175.29549,-14.2427,-1905.22
175.29485,-14.2479,-1903.89
175.29421,-14.2531,-1902.77
175.29357,-14.2583,-1893.64
175.29293,-14.2635,-1889.25
175.29229,-14.2687,-1892.44
175.29165,-14.2739,-1894.36
175.291,-14.2791,-1894.55
175.29036,-14.2843,-1893.47
175.28972,-14.2895,-1891.44
175.28908,-14.2947,-1897.6
175.28844,-14.2999,-1896.11
175.2878,-14.3051,-1896.65
175.28716,-14.3103,-1898.69
175.28651,-14.3155,-1901.18
175.28587,-14.3207,-1903.57
175.28523,-14.3259,-1905.03
175.28388,-14.3362,-1907.99
175.28326,-14.3414,-1908.05
175.28263,-14.3466,-1908.31
175.282,-14.3518,-1907.16
175.28137,-14.357,-1906.54
175.28074,-14.3622,-1907.89
175.28011,-14.3674,-1906.9
175.27948,-14.3726,-1907.36
175.27885,-14.3778,-1906.7
175.27822,-14.3831,-1905.72
175.2776,-14.3883,-1905.92
175.27697,-14.3935,-1912.37
175.27634,-14.3987,-1907.33
175.27571,-14.4039,-1906.67
175.27508,-14.4091,-1908.33
175.27445,-14.4143,-1908.05
175.27382,-14.4195,-1908.49
175.27319,-14.4247,-1905.71
175.27256,-14.43,-1908.42
175.27204,-14.4353,-1910.79
175.27143,-14.4405,-1908.69
175.27083,-14.4458,-1908.41
175.26962,-14.4563,-1909.4
175.26901,-14.4615,-1904.35
175.26841,-14.4667,-1902.57
175.2678,-14.472,-1910.14
175.2672,-14.4772,-1910.23
175.26659,-14.4825,-1910.42
175.26599,-14.4877,-1911.38
175.26538,-14.4929,-1909.63
175.26478,-14.4982,-1910.77
