long_east_deg,lat_north_deg,altitude_m,radius_m
354.01263,-1.4972,-1467.1,3394069.03
354.01197,-1.5023,-1465.97,3394070.07
354.01132,-1.5074,-1465.85,3394070.1
354.01066,-1.5125,-1464.52,3394071.33
354.01001,-1.5176,-1463.66,3394072.1
354.00935,-1.5227,-1463.55,3394072.11
354.0087,-1.5278,-1463.47,3394072.1
354.00804,-1.5329,-1463.02,3394072.46
354.00739,-1.538,-1461.67,3394073.71
354.00673,-1.5431,-1459.3,3394075.99
354.00608,-1.5481,-1458.61,3394076.58
354.00542,-1.5532,-1457.96,3394077.14
354.00477,-1.5583,-1457.52,3394077.48
354.00411,-1.5634,-1456.31,3394078.6
354.00346,-1.5685,-1454.29,3394080.53
354.00282,-1.5737,-1451.62,3394083.1
354.00217,-1.5788,-1449.65,3394084.97
354.00085,-1.589,-1445.33,3394089.09
354.00019,-1.5941,-1443.53,3394090.79
353.99953,-1.5992,-1440.52,3394093.71
353.99887,-1.6042,-1436.21,3394097.92
353.99822,-1.6093,-1432.0,3394102.03
353.99756,-1.6144,-1428.52,3394105.41
353.9969,-1.6195,-1426.14,3394107.69
353.99624,-1.6246,-1424.63,3394109.1
353.99558,-1.6297,-1422.46,3394111.17
353.99492,-1.6348,-1420.99,3394112.54
353.99426,-1.6399,-1418.97,3394114.46
353.99361,-1.645,-1415.48,3394117.85
353.99295,-1.6501,-1413.47,3394119.77
353.99229,-1.6552,-1411.79,3394121.35
353.99163,-1.6603,-1411.45,3394121.59
353.99097,-1.6654,-1412.28,3394120.66
353.99031,-1.6705,-1408.59,3394124.25
353.98963,-1.6755,-1405.48,3394127.26
353.98896,-1.6806,-1403.37,3394129.26
353.9883,-1.6857,-1402.2,3394130.33
353.98764,-1.6908,-1401.73,3394130.7
353.98697,-1.6958,-1401.56,3394130.76
353.98631,-1.7009,-1400.78,3394131.44
353.98564,-1.706,-1399.4,3394132.71
353.98498,-1.7111,-1397.46,3394134.55
353.98432,-1.7162,-1395.82,3394136.09
353.98365,-1.7213,-1395.72,3394136.08
353.98299,-1.7263,-1398.57,3394133.13
353.98233,-1.7314,-1407.81,3394123.78
353.98166,-1.7365,-1414.04,3394117.45
353.981,-1.7416,-1406.45,3394124.94
353.98033,-1.7467,-1401.71,3394129.57
353.97967,-1.7518,-1402.55,3394128.63
353.979,-1.7568,-1404.55,3394126.52
353.97834,-1.7619,-1404.43,3394126.54
353.97768,-1.767,-1405.4,3394125.47
353.97701,-1.7721,-1406.81,3394123.95
353.97634,-1.7772,-1407.05,3394123.61
353.97567,-1.7822,-1408.19,3394122.36
353.97501,-1.7873,-1409.09,3394121.35
353.97435,-1.7924,-1409.59,3394120.74
354.58269,-1.4485,-1440.59,3394105.14
354.58202,-1.4536,-1440.42,3394105.22
354.58136,-1.4587,-1441.07,3394104.47
354.5807,-1.4638,-1441.74,3394103.71
354.58004,-1.4689,-1443.13,3394102.23
354.57938,-1.474,-1445.94,3394099.32
354.57805,-1.4842,-1446.58,3394098.5
354.57739,-1.4893,-1446.78,3394098.2
354.57673,-1.4944,-1446.19,3394098.7
354.57607,-1.4995,-1444.99,3394099.81
354.5754,-1.5046,-1444.53,3394100.17
354.57474,-1.5096,-1442.98,3394101.63
354.57408,-1.5147,-1441.3,3394103.22
354.57342,-1.5198,-1439.23,3394105.19
354.57276,-1.5249,-1438.77,3394105.56
354.57209,-1.53,-1437.58,3394106.66
354.57143,-1.5351,-1438.9,3394105.24
354.57077,-1.5402,-1439.63,3394104.42
354.57011,-1.5453,-1439.73,3394104.22
354.56878,-1.5555,-1441.76,3394101.99
354.56812,-1.5606,-1441.26,3394102.39
354.56746,-1.5657,-1441.64,3394101.91
354.5668,-1.5708,-1444.18,3394099.27
354.56614,-1.5759,-1448.14,3394095.21
354.56547,-1.581,-1447.99,3394095.26
354.56481,-1.5861,-1448.56,3394094.59
354.56415,-1.5912,-1448.43,3394094.62
354.56349,-1.5963,-1447.22,3394095.73
354.56283,-1.6014,-1446.37,3394096.48
354.56216,-1.6065,-1446.66,3394096.09
354.5615,-1.6116,-1447.13,3394095.52
354.56084,-1.6167,-1446.27,3394096.28
354.56018,-1.6218,-1444.72,3394097.73
354.55952,-1.6269,-1443.76,3394098.59
354.55886,-1.632,-1443.39,3394098.86
354.55819,-1.6371,-1442.78,3394099.37
354.55754,-1.6421,-1441.95,3394100.11
354.55688,-1.6472,-1443.65,3394098.31
354.55623,-1.6522,-1444.76,3394097.1
354.55557,-1.6573,-1444.11,3394097.64
354.55491,-1.6624,-1441.87,3394099.78
354.55425,-1.6675,-1437.93,3394103.62
354.55359,-1.6726,-1437.71,3394103.73
354.55293,-1.6776,-1438.06,3394103.28
354.55228,-1.6827,-1437.56,3394103.68
354.55162,-1.6878,-1437.41,3394103.72
