long_east_deg,lat_north_deg,altitude_m,radius_m
135.62921,4.4435,-2613.32,3393083.31
135.62854,4.4485,-2611.61,3393084.76
135.62787,4.4536,-2613.41,3393082.7
135.6272,4.4587,-2612.95,3393082.9
135.62653,4.4638,-2611.93,3393083.65
135.62587,4.4689,-2610.34,3393084.97
135.6252,4.474,-2609.06,3393085.99
135.62453,4.4791,-2610.85,3393083.93
135.62386,4.4841,-2611.78,3393082.73
135.6232,4.4892,-2614.64,3393079.6
135.62253,4.4943,-2614.05,3393079.93
135.62186,4.4994,-2616.66,3393077.05
135.62119,4.5045,-2614.94,3393078.5
135.62053,4.5096,-2615.71,3393077.47
135.61986,4.5146,-2615.14,3393077.77
135.61919,4.5197,-2617.19,3393075.45
135.61852,4.5248,-2617.5,3393074.88
135.61786,4.5299,-2618.52,3393073.59
135.61719,4.535,-2619.42,3393072.42
135.61652,4.5401,-2618.94,3393072.63
135.61585,4.5451,-2619.96,3393071.35
135.61518,4.5502,-2620.96,3393070.08
135.61452,4.5553,-2621.87,3393068.9
135.61381,4.5604,-2621.39,3393069.11
135.61316,4.5655,-2622.85,3393067.38
135.6125,4.5706,-2622.7,3393067.25
135.61184,4.5757,-2623.51,3393066.17
135.61119,4.5807,-2624.54,3393064.87
135.61053,4.5858,-2625.64,3393063.5
135.60987,4.5909,-2626.91,3393061.95
135.60921,4.596,-2626.42,3393062.17
135.60856,4.6011,-2628.22,3393060.1
135.6079,4.6061,-2627.74,3393060.31
135.60724,4.6112,-2629.01,3393058.76
135.60659,4.6163,-2630.46,3393057.04
135.60593,4.6214,-2627.33,3393059.9
135.60527,4.6264,-2629.41,3393057.55
135.60396,4.6366,-2631.32,3393055.09
135.6033,4.6417,-2631.55,3393054.59
135.60264,4.6468,-2634.86,3393051.01
135.60199,4.6518,-2634.25,3393051.34
135.60133,4.6569,-2635.35,3393049.97
135.60069,4.662,-2633.99,3393051.06
135.60004,4.6671,-2636.83,3393047.94
135.59938,4.6721,-2640.15,3393044.35
135.59873,4.6772,-2637.06,3393047.16
135.59807,4.6823,-2636.48,3393047.46
135.59742,4.6874,-2635.18,3393048.48
135.59676,4.6925,-2634.58,3393048.8
135.59611,4.6975,-2632.6,3393050.5
135.59546,4.7026,-2631.76,3393051.07
135.5948,4.7077,-2632.33,3393050.22
135.59415,4.7128,-2632.63,3393049.64
135.59349,4.7178,-2633.27,3393048.72
135.59218,4.728,-2628.4,3393053.04
135.59153,4.7331,-2626.5,3393054.66
135.59088,4.7382,-2627.76,3393053.12
135.59022,4.7432,-2627.62,3393052.98
135.58957,4.7483,-2626.07,3393054.25
135.58891,4.7534,-2625.93,3393054.12
135.58826,4.7585,-2623.14,3393056.63
135.58764,4.7635,-2625.65,3393053.84
135.58698,4.7686,-2658.81,3393020.39
135.58631,4.7737,-2624.85,3393054.07
135.58564,4.7788,-2627.24,3393051.4
135.58498,4.7838,-2628.25,3393050.1
135.58431,4.7889,-2629.34,3393048.73
135.58365,4.794,-2630.95,3393046.83
135.58298,4.7991,-2630.11,3393047.39
135.58232,4.8042,-2629.49,3393047.73
135.58165,4.8093,-2628.75,3393048.18
135.58099,4.8143,-2629.67,3393046.98
135.58032,4.8194,-2631.46,3393044.9
135.57966,4.8245,-2631.91,3393044.17
135.57899,4.8296,-2634.16,3393041.64
135.57833,4.8347,-2633.24,3393042.27
135.57766,4.8398,-2634.95,3393040.28
135.577,4.8448,-2634.32,3393040.62
135.57633,4.8499,-2633.24,3393041.42
135.57567,4.855,-2634.5,3393039.88
135.575,4.8601,-2636.28,3393037.81
135.57432,4.8652,-2637.21,3393036.6
135.57365,4.8703,-2637.76,3393035.76
135.57298,4.8753,-2639.07,3393034.16
135.57232,4.8804,-2641.31,3393031.63
135.57165,4.8855,-2642.93,3393029.72
135.57098,4.8906,-2641.61,3393030.75
135.57031,4.8957,-2641.92,3393030.15
135.56964,4.9008,-2641.77,3393030.01
135.56898,4.9058,-2642.77,3393028.72
135.56831,4.9109,-2645.18,3393026.02
135.56764,4.916,-2647.67,3393023.25
135.56697,4.9211,-2646.71,3393023.92
135.56631,4.9262,-2647.02,3393023.32
135.56564,4.9313,-2647.22,3393022.83
135.56497,4.9363,-2648.91,3393020.85
135.5643,4.9414,-2649.57,3393019.9
135.56363,4.9465,-2648.6,3393020.58
135.56297,4.9516,-2648.92,3393019.97
135.5623,4.9567,-2649.93,3393018.67
135.56163,4.9618,-2650.21,3393018.1
135.56096,4.9668,-2651.81,3393016.21
135.56029,4.9719,-2650.25,3393017.48
135.55962,4.977,-2651.87,3393015.56
135.55896,4.9821,-2651.72,3393015.42
135.55829,4.9872,-2652.79,3393014.05
135.55762,4.9923,-2654.04,3393012.51
135.55695,4.9973,-2655.81,3393010.44
135.74743,4.9977,-2693.17,3392971.45
135.74676,4.9926,-2694.13,3392970.8
135.74539,4.9824,-2694.26,3392971.28
135.74473,4.9774,-2694.56,3392971.28
135.74407,4.9723,-2694.63,3392971.52
135.74341,4.9672,-2694.09,3392972.36
135.74275,4.9621,-2693.33,3392973.42
135.74209,4.957,-2692.94,3392974.12
135.74143,4.9519,-2693.47,3392973.89
135.74077,4.9469,-2692.44,3392975.22
135.74011,4.9418,-2690.24,3392977.73
135.73945,4.9367,-2692.5,3392975.77
135.7388,4.9316,-2691.62,3392976.96
135.73814,4.9265,-2691.66,3392977.22
135.73748,4.9214,-2689.8,3392979.38
135.73616,4.9113,-2687.57,3392982.22
135.7355,4.9062,-2687.63,3392982.46
135.73484,4.9011,-2686.74,3392983.66
135.73418,4.896,-2685.58,3392985.12
135.73352,4.891,-2678.13,3392992.87
135.73287,4.8859,-2674.96,3392996.35
135.73221,4.8808,-2672.37,3392999.24
135.73156,4.8757,-2677.02,3392994.88
135.7309,4.8706,-2677.43,3392994.77
135.73024,4.8655,-2678.24,3392994.26
135.72958,4.8605,-2677.88,3392994.92
135.72892,4.8554,-2679.79,3392993.31
135.72827,4.8503,-2676.01,3392997.38
135.72761,4.8452,-2677.36,3392996.33
135.72695,4.8401,-2674.42,3392999.57
135.72629,4.835,-2672.61,3393001.68
135.72564,4.83,-2673.37,3393001.22
135.72498,4.8249,-2669.38,3393005.51
135.72432,4.8198,-2664.51,3393010.67
135.72366,4.8147,-2663.03,3393012.45
135.72301,4.8096,-2661.34,3393014.44
135.72235,4.8045,-2663.62,3393012.46
135.72169,4.7995,-2662.85,3393013.52
135.72103,4.7944,-2663.37,3393013.3
135.72037,4.7893,-2664.47,3393012.5
135.71972,4.7842,-2666.16,3393011.12
135.71906,4.7791,-2670.68,3393006.89
135.7184,4.774,-2669.68,3393008.18
135.71775,4.769,-2672.24,3393005.91
135.71709,4.7639,-2675.29,3393003.15
135.71643,4.7588,-2677.55,3393001.19
135.71577,4.7537,-2676.98,3393002.05
135.71511,4.7486,-2678.92,3393000.4
135.71445,4.7436,-2679.06,3393000.55
135.71379,4.7385,-2679.47,3393000.43
135.71313,4.7334,-2679.51,3393000.69
135.71247,4.7283,-2678.88,3393001.61
135.71181,4.7232,-2680.04,3393000.74
135.71115,4.7182,-2677.44,3393003.63
135.71049,4.7131,-2675.92,3393005.44
135.70983,4.708,-2671.8,3393009.86
135.70917,4.7029,-2677.98,3393003.97
135.70851,4.6978,-2676.19,3393006.05
135.70785,4.6928,-2676.68,3393005.85
