long_east_deg,lat_north_deg,altitude_m,radius_m
137.90667,-4.3771,-4209.39,3391432.56
137.90601,-4.3822,-4216.43,3391425.22
137.90535,-4.3873,-4224.29,3391417.07
137.90469,-4.3924,-4235.53,3391405.53
137.90403,-4.3975,-4242.48,3391398.29
137.90337,-4.4026,-4248.08,3391392.4
137.90271,-4.4077,-4251.86,3391388.32
137.90205,-4.4127,-4261.51,3391378.38
137.90139,-4.4178,-4266.39,3391373.2
137.90073,-4.4229,-4272.28,3391367.03
137.90007,-4.428,-4283.38,3391355.63
137.89941,-4.4331,-4286.8,3391351.92
137.89875,-4.4382,-4289.0,3391349.42
137.89809,-4.4433,-4296.5,3391341.62
137.89742,-4.4484,-4305.37,3391332.45
137.89676,-4.4535,-4309.41,3391328.11
137.8961,-4.4586,-4319.2,3391318.03
137.89544,-4.4637,-4311.48,3391325.45
137.89478,-4.4688,-4278.51,3391358.12
137.89412,-4.4739,-4175.78,3391460.55
137.89346,-4.479,-4104.13,3391531.9
137.8928,-4.484,-4160.38,3391475.35
137.89214,-4.4891,-4242.79,3391392.65
137.89148,-4.4942,-4259.64,3391375.5
137.89082,-4.4993,-4270.82,3391364.02
137.89016,-4.5044,-4259.15,3391375.39
137.8895,-4.5095,-4266.45,3391367.79
137.88884,-4.5146,-4223.35,3391410.6
137.88818,-4.5197,-4222.25,3391411.4
137.88754,-4.5248,-4188.45,3391444.9
137.88688,-4.5299,-4161.39,3391471.66
137.88623,-4.535,-4112.3,3391520.45
137.88557,-4.5401,-4079.51,3391552.94
137.88492,-4.5452,-4053.98,3391578.17
137.88426,-4.5503,-4040.02,3391591.84
137.88361,-4.5554,-4022.51,3391609.05
137.88295,-4.5605,-4013.72,3391617.53
137.8823,-4.5656,-4000.57,3391630.38
137.88164,-4.5707,-3989.61,3391641.04
137.88099,-4.5758,-3972.03,3391658.32
137.88033,-4.5809,-3932.18,3391697.87
137.87968,-4.586,-3921.0,3391708.75
137.87902,-4.5911,-3863.54,3391765.9
137.87837,-4.5962,-3878.09,3391751.05
137.87771,-4.6013,-3872.52,3391756.33
137.87706,-4.6064,-3857.05,3391771.5
137.8764,-4.6115,-3811.74,3391816.51
137.87575,-4.6166,-3815.72,3391812.23
137.87509,-4.6217,-3806.65,3391821.0
137.87444,-4.6268,-3786.43,3391840.91
137.87378,-4.6319,-3735.36,3391891.68
137.87313,-4.637,-3669.64,3391957.1
137.87247,-4.6421,-3626.85,3391999.58
137.87182,-4.6472,-3617.58,3392008.55
137.87116,-4.6523,-3529.06,3392096.77
137.87051,-4.6574,-3539.12,3392086.4
137.86985,-4.6624,-3556.65,3392068.57
137.86919,-4.6675,-3529.62,3392095.3
137.86854,-4.6726,-3491.63,3392132.98
137.86788,-4.6777,-3462.42,3392161.89
137.86723,-4.6828,-3430.17,3392193.83
137.86657,-4.6879,-3396.24,3392227.46
137.86592,-4.693,-3350.59,3392272.81
137.86526,-4.6981,-3299.97,3392323.12
137.86461,-4.7032,-3251.51,3392371.28
137.86395,-4.7083,-3198.69,3392423.8
137.8633,-4.7134,-3107.24,3392514.94
137.86264,-4.7185,-3042.98,3392578.9
137.86198,-4.7236,-2995.47,3392626.11
137.86131,-4.7287,-2927.17,3392694.11
137.86064,-4.7338,-2846.11,3392774.86
137.85998,-4.7389,-2754.31,3392866.35
137.85931,-4.744,-2651.81,3392968.55
137.85865,-4.7491,-2594.69,3393025.36
137.85798,-4.7542,-2533.74,3393086.02
137.85732,-4.7593,-2472.91,3393146.54
137.85666,-4.7644,-2394.18,3393224.96
137.85599,-4.7695,-2290.73,3393328.11
137.85533,-4.7746,-2196.15,3393422.38
137.85466,-4.7797,-2102.88,3393515.35
137.854,-4.7848,-2013.14,3393604.78
137.85333,-4.7899,-1924.34,3393693.27
137.85267,-4.795,-1830.14,3393787.17
137.852,-4.8001,-1737.25,3393879.75
137.85134,-4.8052,-1653.94,3393962.77
