long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg,roughness_rms_m,label
269.40452,-0.5362,3273.93,3400090.77,0.37145359353789054,1.601365397279733,1
269.40384,-0.5312,3270.71,3400087.65,0.3667578153893092,2.033240722834086,1
269.40317,-0.5261,3271.72,3400088.76,0.45640905157397205,1.8910813700979467,1
269.40249,-0.521,3270.44,3400087.58,0.6024471913660923,1.8327383033707656,1
269.40181,-0.5159,3268.27,3400085.51,0.7498940149563317,1.5493851354565984,1
269.40113,-0.5109,3267.71,3400085.05,0.8235080387121564,1.2383587914078085,1
269.40046,-0.5058,3264.06,3400081.5,0.7153688302794147,0.9223962402080924,1
269.39978,-0.5007,3264.36,3400081.9,0.7027840479343423,0.987596870358611,1
269.3991,-0.4956,3258.77,3400076.41,0.6877239674091201,0.9830085571033532,1
269.39843,-0.4905,3257.82,3400075.56,0.6530301838317939,1.103619727999923,1
269.39775,-0.4855,3256.79,3400074.63,0.6279240624505373,1.209979566518269,1
269.39707,-0.4804,3253.95,3400071.89,0.7530551803888673,0.8674771941604957,1
269.39639,-0.4753,3253.79,3400071.83,0.5500624874445285,0.8067307303358412,1
269.39572,-0.4702,3252.01,3400070.15,0.4352128001641572,1.595849458532668,1
269.39504,-0.4652,3250.37,3400068.61,0.28609446835782526,1.3903933080518058,1
269.39436,-0.4601,3251.57,3400069.91,0.26520934262866414,1.2894335727181603,1
269.39369,-0.455,3254.46,3400072.9,0.24594961642151417,1.0680577693468518,1
269.39301,-0.4499,3251.98,3400070.52,0.3047886126789187,1.2375844956147561,1
269.39232,-0.4448,3253.54,3400072.19,0.3416018056587312,0.9330660818756263,1
269.39165,-0.4398,3252.61,3400071.35,0.3726517557772076,0.7762409088522525,1
269.39098,-0.4347,3253.48,3400072.3,0.31309161039801897,1.151385041918362,1
269.39031,-0.4296,3253.64,3400072.55,0.2881088700147494,1.282820934278249,1
269.38964,-0.4246,3253.91,3400072.91,0.30624381975442505,1.2859280289564403,1
269.38897,-0.4195,3254.88,3400073.98,0.32645710092644725,1.090863678817817,1
269.38829,-0.4144,3255.05,3400074.23,0.3401100844339095,0.9540089484473372,1
269.33599,-0.0143,3230.97,3400055.52,0.07438331799292473,1.1251093680756725,1
269.33534,-0.0092,3232.99,3400057.58,0.10394749782722962,1.378839543889323,1
269.33469,-0.0041,3231.36,3400055.99,0.12813086810138508,1.3184990534208787,1
269.33403,0.0009,3229.12,3400053.8,0.16053441591364198,1.3255395466148492,1
269.33338,0.0059,3230.52,3400055.24,0.2183170760485503,1.047219708222584,1
269.33273,0.011,3230.12,3400054.88,0.16239364594923686,1.3785792143802191,1
269.33208,0.016,3227.57,3400052.37,0.15277492580783839,2.0224642777307684,1
269.33143,0.0211,3226.68,3400051.53,0.34287407268095504,3.7681608375179,1
269.33078,0.0262,3229.18,3400054.07,1.0091429384188988,9.936401917172317,1
269.33012,0.0312,3234.62,3400059.55,0.9588976189591223,10.898050028817831,1
269.32947,0.0363,3244.16,3400069.14,2.0910139350125534,40.75961679476497,1
269.32882,0.0414,3278.03,3400103.05,5.614930253961871,51.129291937202254,1
269.32817,0.0464,3231.57,3400056.63,8.366214797992406,45.39383336149702,1
269.32752,0.0515,3101.72,3399926.83,8.902483610109503,39.064897205477315,1
269.32686,0.0566,3043.21,3399868.36,8.39266271771449,55.42676099627559,1
269.32622,0.0616,3027.82,3399853.0,17.507340321665662,79.13442666245545,1
269.32556,0.0667,3045.69,3399870.9,11.326740099699826,66.49124445394901,1
269.32491,0.0718,3119.51,3399944.75,11.986429841467292,46.71505318387491,1
269.32426,0.0768,3279.93,3400105.21,9.676330953840843,48.53457433749462,1
269.32361,0.0819,3284.72,3400110.03,6.8466284632856125,60.3126107778971,1
269.32231,0.092,3259.34,3400084.71,0.9122435009155627,35.9618880351581,1
269.32165,0.0971,3236.71,3400062.11,1.7769292628478655,7.055174857439844,1
269.321,0.1022,3234.17,3400059.6,1.3210688094481093,7.743448786613074,1
269.32035,0.1072,3232.97,3400058.43,0.8912040141970424,5.745932476124126,1
269.3197,0.1123,3230.9,3400056.4,0.6234410591426468,3.3463753934388616,1
269.31905,0.1173,3227.3,3400052.83,0.5740759896178946,2.9750297708690128,1
269.3184,0.1224,3223.85,3400049.41,0.8488827996911054,3.619857934074077,1
269.31775,0.1275,3218.73,3400044.32,1.123665313113859,1.6304946218584129,1
269.31579,0.1427,3198.14,3400023.82,0.7000962163443132,5.872626761391492,1
269.31514,0.1477,3196.74,3400022.46,0.2350083251693423,5.596314533395933,1
269.31449,0.1528,3201.19,3400026.94,0.530174969096861,3.506344420259381,1
269.31384,0.1579,3207.76,3400033.54,0.5707268982152459,2.803880825745017,1
269.31318,0.1629,3208.64,3400034.46,0.5303039813972775,2.9960574299384506,1
269.31253,0.168,3211.64,3400037.48,0.2376774465871837,2.6455860438112855,1
269.31188,0.1731,3213.63,3400039.49,0.14780383068988945,1.5852238952124504,1
269.31123,0.1781,3212.43,3400038.31,0.11891268066655106,1.3661773818180254,1
269.31058,0.1832,3211.84,3400037.74,0.06821434584573074,1.2971838275445486,1
269.30993,0.1883,3213.89,3400039.82,0.04680701736369574,1.3733574076952049,1
269.30928,0.1933,3213.88,3400039.83,0.06253725080476882,1.3600460233248681,1
269.30864,0.1984,3215.88,3400041.85,0.05468323751348266,1.2845350812026464,1
269.30799,0.2035,3212.01,3400038.0,0.10157708824685514,1.5801516296379963,1
269.30734,0.2085,3213.32,3400039.33,0.19536218571856676,1.8496579272064613,1
269.30669,0.2136,3215.56,3400041.59,0.26128157842457483,1.6578200736312145,1
269.30604,0.2187,3217.91,3400043.96,0.34809513179704804,1.2310595447359776,1
269.30539,0.2238,3220.16,3400046.23,0.3509025787875247,1.2326551391044493,1
269.30474,0.2288,3220.75,3400046.84,0.1889117591669723,1.7937395822925113,1
269.30409,0.2339,3221.18,3400047.29,0.16445690744526933,1.567065527125237,1
269.30344,0.239,3223.01,3400049.15,0.10626355732216779,1.6002115190877675,1
269.30279,0.244,3220.16,3400046.32,0.1586054007340557,1.567257345502437,1
269.30214,0.2491,3218.25,3400044.43,0.22707710887477814,1.3818204711452753,1
269.3015,0.2542,3216.66,3400042.86,0.26005005190546837,1.483729868118708,1
269.30085,0.2593,3216.39,3400042.61,0.12448461715970612,1.8109709497235535,1
269.3002,0.2643,3214.68,3400040.92,0.15115291119006644,1.781647705924514,1
269.29955,0.2694,3217.68,3400043.93,0.289894360253272,2.260824013814341,1
269.2989,0.2745,3217.55,3400043.81,0.25341662665761483,2.3251301731261145,1
269.29825,0.2795,3217.4,3400043.67,0.2647318425381798,2.7824397943077503,1
269.2976,0.2846,3218.68,3400044.96,0.4584917400486627,3.49639849066168,1
269.29695,0.2897,3212.59,3400038.88,0.45273088627471764,5.025241672616918,1
269.29631,0.2948,3220.63,3400046.93,0.6056392530143563,4.235646186217253,1
269.29566,0.2998,3227.26,3400053.57,0.6902758991583878,3.8659792976130145,1
269.29501,0.3049,3227.84,3400054.16,0.6687387902781462,2.4513099206432503,1
269.29436,0.31,3228.4,3400054.73,0.6280274291674172,1.3605219481767479,1
269.26581,0.5279,3210.5,3400036.86,0.465239758130549,3.359890871098865,1
269.26514,0.5329,3213.04,3400039.39,0.22126733249867014,2.224509420651958,1
269.26447,0.538,3211.5,3400037.84,0.19266192396740553,1.2408657330788886,1
269.2638,0.5431,3210.87,3400037.2,0.200994033623972,0.8346096142717174,1
269.26313,0.5481,3209.31,3400035.63,0.23684577125087655,0.6993427655681416,1
269.26246,0.5532,3208.12,3400034.43,0.3657358536981219,1.9163270859263426,1
269.26178,0.5583,3208.84,3400035.14,0.47563409097974385,1.9845076109405058,1
269.26111,0.5633,3206.3,3400032.59,0.3440090653873481,3.4815161206322323,1
269.26045,0.5684,3197.57,3400023.86,0.20227644226321548,5.168508322540698,1
269.25977,0.5735,3196.03,3400022.3,0.3275495522579603,4.976062282924195,1
269.2591,0.5785,3208.0,3400034.25,0.5344916118070131,4.003224409109345,1
269.25843,0.5836,3214.28,3400040.51,0.6974915871166077,3.2559215586184247,1
269.25775,0.5887,3211.49,3400037.7,0.5611061028780049,3.6326826593543013,1
269.25708,0.5937,3214.3,3400040.5,0.16537288832640684,1.9800883356690608,1
269.25641,0.5988,3214.19,3400040.37,0.26810971597272626,1.5300353472585562,1
269.25573,0.6039,3213.72,3400039.88,0.23270560200606957,1.7655350053568946,1
269.25506,0.6089,3214.27,3400040.41,0.37334592571075387,2.130371245258068,1
269.25439,0.614,3218.43,3400044.55,0.5427382463017656,1.8658141219489939,1
269.25371,0.6191,3219.36,3400045.46,0.6499328491736855,1.3052323310812683,1
269.25304,0.6241,3225.29,3400051.37,0.647733180123002,1.3530639934065325,1
269.25237,0.6292,3228.99,3400055.05,0.4981432946046851,2.1930091920698196,1
269.25169,0.6343,3233.77,3400059.81,0.33040073788625474,2.637196448609327,1
269.25102,0.6393,3233.65,3400059.67,0.06799129224351533,2.7356090157465043,1
269.25035,0.6444,3233.09,3400059.1,0.1440589465084442,2.0598799532688203,1
269.24967,0.6495,3231.42,3400057.41,0.23274800739915646,1.535820268178862,1
269.249,0.6545,3226.01,3400051.98,0.2618441207636809,1.3103723187206384,1
269.24833,0.6596,3225.3,3400051.25,0.20597017509001497,1.2851752976371462,1
269.24765,0.6647,3225.48,3400051.41,0.1395757554299566,1.2384898282220274,1
269.24698,0.6697,3225.31,3400051.22,0.08486108501231875,0.5804491208281771,1
269.24631,0.6748,3224.5,3400050.38,0.06253609255861205,0.4116421265670453,1
269.24563,0.6799,3224.03,3400049.88,0.05937880135268034,1.3451162971335564,1
269.24496,0.6849,3223.6,3400049.42,0.0796830555951609,1.2763343419015056,1
269.24429,0.69,3224.97,3400050.76,0.07952583463354776,1.4593822351449128,1
269.24361,0.6951,3227.86,3400053.63,0.08814413289284861,1.674626720470944,1
269.24294,0.7001,3225.57,3400051.31,0.16106101396804307,1.7226745909800116,1
269.24227,0.7052,3223.99,3400049.7,0.3119652552772778,0.9709024983684169,1
